Tai yra tiesa.	That's true.
Koncertas turbūt tęsis tris valandas.	The concert will probably last three hours.
Krepšinio komanda susideda iš penkių žaidėjų.	A basketball team consists of five players.
Kūdikis tęsia miegoti.	The baby continues to sleep.
Kuriuo metu išgirdai šūvį?	At what time did you hear the gunshot?
Maikas mėgsta žaisti krepšinį.	Mike likes to play basketball.
Mama manęs paprašė nupirkti jai naują antklodę.	Mum asked me to buy her a new blanket.
Mane beveik partrenkė automobilis.	I was almost hit by a car.
Man nerūpi ekonomika.	I don't care about economics.
Mano dėdė buvo vienintelis sužeistas avarijoje.	My uncle was the only person injured in the car accident.
Mano kambario sienos yra žalios.	The walls of my room are green.
Mano senelis augina antis.	My grandfather raises ducks.
Mano sūnui skauda dantį.	My son has a toothache.
Man patinka plaukioti ir žaisti krepšinį.	I like swimming and playing basketball.
Medžiai yra žali.	The trees are green.
Meksika yra valstybė Šiaurės Amerikoje.	Mexico is a country in North America.
Mes ėjome į Londoną.	We went to London.
Mes negalėjome sužinoti jos adreso.	We could not find out her address.
Mes nuėjome į kavinę apie kurią aš tau sakiau.	We went to the café that I told you about.
Mes turime katę. Mes visi mylime kates.	We have a cat. We all love cats.
Monika daug nesimokė.	Monica didn't study a lot.
Negaliu ginčytis su likimu.	One can't quarrel with destiny.
Nekišk rankų kur nereikia!	Don't stick your hands where they don't belong!
Nepamiršk bilieto.	Don't forget the ticket.
Nestovėk prie lango.	Don't stand next to the window.
Niekas neklausė tavo nuomonės.	No one asked for your opinion.
Norėčiau pasikalbėti su advokatu.	I want to speak to a lawyer.
Norėčiau pasikalbėti su savo advokatu.	I want to speak to my lawyer.
Pagal Tomą, Dženė ištekėjo praeitą mėnesį.	According to Tom, Jane got married last month.
Pelės mėgsta sūrį.	Mice like cheese.
Pirmadienis ateina po sekmadienio.	Monday comes after Sunday.
Po dvejų minučių mūsų automobilyje baigėsi degalai.	Our car ran out of gas after two minutes.
Prašau išvalyk purvinas grindis.	Please clean the dirty floor.
Prašau leiskite man panešti jūsų krepšį.	Please allow me to carry your bag.
Prašau leiskite man panešti jūsų maišą.	Please allow me to carry your bag.
Prašau prižiūrėk mano kates kol manęs nėra.	Please look after my cats while I'm away.
Rojus atrodo laimingas kada jo mergina jam paskambina.	Roy looks happy when his girlfriend calls him.
Sekmadieniais aš einu į bažnyčią.	I go to the church on Sundays.
Sekmadieniais parduotuvė nedirba.	The store is closed on Sundays.
Sekmadieniais parduotuvė uždaryta.	The store is closed on Sundays.
Šiandien yra pirmadienis, o rytoj bus antradienis.	It's Monday today and it will be Tuesday tomorrow.
Šie produktai yra tokios pačios kokybės.	These products are of the same quality.
Šio automobilio gamyba prasidėjo 1980 metais.	The production of the automobile started in the 1980.
Skalbimo mašina sugedo.	The washing machine has broken down.
Sugadinsi sau akis.	You're going to ruin your eyes.
Šuo guli ant sofos, o aš guliu lovoj.	The dog is lying on the sofa and I'm lying in bed.
Tai buvo vertinga patirtis.	That was a valuable experience.
Tai ji dirba šiame fabrike, ar ne?	So she works at this factory, does she?
Tas debesis primena Kiniją.	That cloud looks like China.
Tau nereikėjo valgyti tos žalios žuvies.	You shouldn't have eaten the fish raw.
Tėti, ar tiki vaiduokliais?	Dad, do you believe in ghosts?
Tomas gavo medalį.	Tom was given a medal.
Tomas negeria kavos, bet jis rūko cigaretes.	Tom doesn't drink coffee, but he smokes cigarettes.
Tomas nusprendė neiti į vakarėlį.	Tom decided not to go to the party.
Tomas tikrai gali žaisti tenisą.	Tom sure can play tennis.
Tomas yra milijardierius.	Tom is a billionaire.
Tomas yra našlaitis.	Tom is an orphan.
Tomas žaidžia šachmatais geriau už mane.	Tom is better at chess than I am.
Tonis galvojo apie fabriką ir parduotuves.	Tony thought about the factory and the shops.
Tu negali naudotis šia skalbimo mašina.	You can't use this washing machine.
Tu pamiršai man papasakoti apie tą knygą kurią perskaitei.	You forgot to tell me about that book you read.
Tu sugadinai skalbimo mašiną.	You broke the washing machine.
Tu žinai daug įdomių vietų, ar ne?	You know many interesting places, don't you?
Veidrodis atspindi šviesą.	A mirror reflects light.
Velnias padavė Dievą į teismą.	Devil sued God.
Vieną dieną norėčiau nuvykti į Jungtines Valstijas.	I would like to go to the United States one day.
Vilkai nevalgo salotų.	Wolves don't eat salad.
Visą dieną žaidžiau tenisą.	I played tennis all day.
Visi atsakymai turi būti parašyti pagal instrukcijas.	All answers must be written according to the instructions.
Visi berniukai pažiūrėjo žemyn.	All the boys looked down.
Žaisti krepšinį yra įdomu.	It is interesting to play basketball.
Ar galėtum aprodyti Tomą po miestą?	Would you mind showing Tom around the city?
Ar galiu tave vadinti Tomu?	May I call you Tom?
Ar girdėjai apie Tomo paaukštinimą?	Did you hear about Tom's promotion?
Ar kada nors buvai užsienyje?	Have you been abroad?
Ar kada nors matei tokį gražų saulėlydį?	Have you ever seen such a beautiful sunset?
Ar tu moki gaminti duoną?	Do you know how to bake bread?
Ar tu žinai kur ji nusipirko sau katiną?	Do you know where she bought herself a cat?
Ar žaisi tenisą su mumis?	Will you play tennis with us?
Aš dirbau šitoje gamykloje.	I worked in this factory.
Aš esu krikščionis.	I'm a Christian.
Aš girdėjau kad jo tėvas yra užsienyje.	I hear that his father is abroad.
Aš išsiųsiu knygą paštu.	I'll send the book by mail.
Aš kalbėjausi su Tomu.	I talked to Tom.
Aš kalbu su Tomu.	I am talking with Tom.
Aš negaliu rasti Timo.	I can't find Tim.
Aš noriu skristi virš debesų.	I want to fly above the clouds.
Aš pamiršau užrakinti stalčių.	I forgot to lock the drawer.
Aš pažiūrėjau į save veidrodyje ir man nepatiko tai, ką pamačiau.	I looked at myself in the mirror and I didn't like what I saw.
Aš skridau virš debesų.	I flew above the clouds.
Aš sudaužiau jos širdį.	I broke her heart.
Aš supainiojau tave su savo broliu.	I mistook you for your brother.
Aš sutikau su Tomu.	I agreed with Tom.
Aš truputį išgėręs.	I'm a bit drunk.
Aš turbūt tave supainiojau su kitu mano draugu kuris turi tokį patį vardą!	I may have mistaken you with my other friend who has the same name!
Aš turiu atnaujinti mano pasą.	I need to renew my passport.
Ataskaitas reikia pristatyti iki kito pirmadienio.	Reports are due next Monday.
Atidaryk langą ir įleisk šviežio oro.	Open the window and let in some fresh air.
Cukrus yra saldus.	Sugar is sweet.
Danguje švyti daugybė žvaigždžių.	Many stars shine in the heavens.
Dauguma krepšinio žaidėjų yra labai aukšti.	Most basketball players are very tall.
Dauguma studentų mėgsta sportą.	Most students like sports.
Diržas yra rudas.	The belt is brown.
Duok tam žmogui savo kilimą.	Give your carpet to that person.
Džesė nekalba apie šiuos dalykus atvirai.	Jessie does not speak of these things openly.
"Ei, tu užsičiaupk! Tu per daug kalbi," pasakė gangsteris.	"Hey, you shut up! You talk too much," the gangster said.
Helena aplanko savo dėdę kiekvieną sekmadienį.	Helen visits her uncle every Sunday.
Internetas yra rimtas verslas.	The Internet is serious business.
Išmokyk juos gaminti salotas.	Teach them how to make a salad.
Įstatymas buvo pakeistas.	The law was changed.
Jei mašina yra sugadinta, tu esi atsakingas.	If the machine is damaged, you are responsible.
Jei nesi labai užsiėmus, gal galėtum man vieną minutę padėti?	If you're not too busy, could you help me for just a minute?
Ji atidaro langą.	She is opening the window.
Jie gyvena naujame name prie parko.	They live in a new house near the park.
Ji juos ten nuvežė automobiliu.	She drove them there by car.
Ji man duos dar vieną kilimą.	She'll give one more carpet to me.
Ji man iškepė pyragą.	She baked me a cake.
Ji neprisimena ar jo automobilis buvo geltonas ar ne.	She doesn't remember if his car was yellow or not.
Ji norėjo būti dainininkė.	She wanted to be a singer.
Ji nori būti dainininkė.	She wants to be a singer.
Jis atidaro langą.	He is opening the window.
Jis buvo Indijoje.	He has been to India.
Jis mane įžeidė be jokios priežasties.	He insulted me without any reason.
Jis man pažadėjo kad jis bus atsargesnis ateityje.	He promised me that he would be more careful in the future.
Jis metė akmenį į ežerą.	He threw a stone into the lake.
Jis mirė nuo skrandžio vėžio.	He died of cancer of the stomach.
Jis padėjo knygą ant lentynos.	He put the book on the shelf.
Jis papasakojo vaikams apie savo nuotykius Afrikoje.	He told the children about his adventures in Africa.
Jis prarado regėjimą.	He lost his eyesight.
Jis žaidžia golfą kiekvieną sekmadienį.	He plays golf every Sunday.
Jis žais golfą kitą sekmadienį.	He will play golf next Sunday.
Ji turi ir trūkumų.	She has faults, too.
Ji uždaro duris.	She closes the door.
Ji yra dainininkė.	She is a singer.
Jo kostiumas buvo pilkas o jo kaklaraištis geltonas.	His suit was gray and his tie was yellow.
Jos dukra iškepė mėsą.	Her daughter fried the meat.
Jos katinas gulėjo ant mano pagalvės ir nenorėjo nulipti.	Her cat was lying on my pillow and didn't want to come off it.
Jo tėvai buvo patenkinti jo sėkme.	His parents were pleased with his success.
Jungtinėse Valstijose įstatymai skiriasi tarp valstijų.	Laws differ from state to state in the United States.
Jungtinėse Valstijose yra penkiasdešimt valstijų.	There are fifty states in the United States.
Jūsų atsakymas yra klaidingas.	Your answer is wrong.
Jūsų kilimas yra visiškai baltas.	Your carpet is completely white.
Kada tu susipažinai su Tomu?	When did you get to know Tom?
Kaip šis gyvūnas vadinasi Japoniškai?	What is this animal called in Japanese?
Karas nėra neišvengiamas.	The war is not inevitable.
Kas gali sau leisti nusipirkti tokį brangų namą?	Who can afford to buy such an expensive house?
Kažkas jiems atnešė naują kilimą.	Somebody brought them a new carpet.
Kiek kainuoja kambario nuoma?	How much is the rent for this room?
Kiek laiko kiekvieną dieną vidutinis paauglys žiūri televizorių?	How much time does the average teenager watch TV every day?
Kodėl tu atsisakei jo pasiūlymo?	Why did you turn down his offer?
Kokia yra graikijos sostinė?	What is the capital of Greece?
Koks yra šio tilto ilgis?	How long is this bridge?
Kūno temperatūra yra aukščiausia vidurdienį.	Body temperature is highest in the afternoon.
Kur parašytas mano vardas?	Where is my name written?
Laivas prarastas.	The boat is lost.
Laivas skęsta.	The ship is sinking.
Lėktuvas nuskrido į rytus.	The plane flew east.
Lėktuvas skrenda virš debesų.	The plane is flying above the clouds.
Lėktuvas skrido virš debesų.	The plane flew above the clouds.
Londonos yra jo mylimiausias miestas.	London is the city he loves the most.
Mano albumas yra čia.	My album is here.
Mano tėvas neleido man mokytis Jungtinėse Valstijose.	My father didn't allow me to study in the USA.
Mano tėvas niekada nebuvo užsienyje.	My father has never been abroad.
Mano tėvas paliko man didelį palikimą.	My father left me a large inheritance.
Man reikia įkvėpimo.	I need inspiration.
Meksikos sostinė yra didžiausias miestas Lotynų Amerikoje.	The capital of Mexico is the largest city in Latin America.
Mėnulyje nėra atmosferos.	The moon has no atmosphere.
Mergaitė valgo duoną.	The girl is eating bread.
Mes sutarėme toliau tęsti derybas.	We have agreed to continue the negotiations.
Mes su Tomu neturime jokių paslapčių vienas nuo kito.	Tom and I have no secrets from each other.
Mokiniai išbėgo pro duris.	The students ran out through the door.
Mokytoja davė jam auksinį laikrodį.	He was given a gold watch by the teacher.
Mokytojas davė jam auksinį laikrodį.	He was given a gold watch by the teacher.
Mokytojas mus perspėjo, kad egzaminas tikriausiai bus sunkus.	The teacher warned us that the exam would probably be complicated.
Moteris valgo duoną.	The woman is eating bread.
Mūsų lėktuvas skrido virš debesų.	Our plane was flying above the clouds.
Nebijokite naujų pažinčių.	Don't be scared to meet new people.
Negaliu palikti šio dokumento čia su tavimi.	I can't leave that document here with you.
Nors ji ir bėgo taip greitai, kaip tik galėjo, į autobusą vis tiek nespėjo.	Running as fast as she could, she still failed to catch the bus.
Nors jis ir gyvena Jungtinėse Valstijose, Tomas nemoka kalbėti angliškai.	Even though he lives in the United States, Tom can't speak English.
Nusprendžiau būti laiminga, nes tai gerai mano sveikatai.	I decided to be happy because it's good for my health.
Nusprendžiau būti laimingas, nes tai gerai mano sveikatai.	I decided to be happy because it's good for my health.
Padėk tą knygą atgal ant lentynos.	Put the book back on the shelf.
Palik mano namus ir niekada negrįžk.	Leave my house and never return.
Pamenu tą naktį, kai aš pirmą kartą pamačiau Paukščių Taką.	I remember the night when I first saw the Milky Way.
Pasakyk man kurią duoną tu nori valgyti.	Tell me which bread you want to eat.
Pažiūrėk į save veidrodyje.	Look at yourself in the mirror.
Pažiūrėk į tuos dūmus.	Look at that smoke.
Pilka katė negali nulipti nuo medžio.	The grey cat can't climb off the tree.
Po jo lova slepiasi daug juodų kačių.	There are many black cats hiding under the bed.
Policija pasodins tave į kalėjimą.	The police will put you in prison.
Ponas Braunas labai gerai kalba japoniškai.	Mr Brown speaks Japanese very well.
Ponia Braun supranta Japonų kalbą.	Mrs. Brown understands Japanese.
Rykliai ėda žuvis.	Sharks eat fish.
Ši istorija neatitinka faktų.	The story doesn't match the facts.
Šis kilimas yra labai ilgas.	This carpet is very long.
Šis stalas pagamintas iš medienos.	This desk is made of wood.
Tau reikia nustoti švaistyti laiką.	You need to stop wasting time.
